dist,x,y,height,dsm,dtm
469.4291568,243480.8406,80215.68628,66.012871,292.320007,226.350006
470.611598,243481.4712,80214.68603,66.406502,292.299988,225.854675
471.7940392,243482.1018,80213.68577,44.792149,270.209991,225.312744
472.9764804,243482.7324,80212.68551,44.941883,270.200012,225.171783
474.1589216,243483.363,80211.68525,56.553837,281.290009,224.733536
475.3413628,243483.9936,80210.685,56.439163,281.059998,224.640152
476.523804,243484.6242,80209.68474,59.542122,283.829987,224.237305
477.7062452,243485.2548,80208.68448,62.905254,286.640015,223.834061
478.8886864,243485.8854,80207.68422,62.584751,286.209991,223.729553
480.0711276,243486.516,80206.68397,63.199013,286.480011,223.36113
481.2535688,243487.1466,80205.68371,64.02562,287.01001,222.939804
482.43601,243487.7772,80204.68345,64.690742,287.619995,222.962387
483.6184512,243488.4078,80203.6832,64.201355,286.769989,222.491058
484.8008924,243489.0384,80202.68294,28.236412,249.949997,221.912079
485.9833336,243489.669,80201.68268,28.699217,250.199997,221.511841
487.1657748,243490.2996,80200.68242,30.957478,251.720001,220.745789
488.348216,243490.9302,80199.68217,30.774311,251.106232,220.415756
489.5306572,243491.5608,80198.68191,31.204462,250.830002,219.736786
490.7130984,243492.1914,80197.68165,26.770861,245.885574,219.193878
491.8955396,243492.822,80196.68139,26.340471,245.191681,218.854813
493.0779808,243493.4526,80195.68114,25.753666,244.130005,218.36293
494.260422,243494.0832,80194.68088,35.812786,253.589996,217.923096
495.4428632,243494.7138,80193.68062,35.863247,253.679993,217.820999
496.6253045,243495.3444,80192.68037,36.262131,253.639999,217.412766
497.8077457,243495.975,80191.68011,35.645004,252.830002,217.180817
498.9901869,243496.6056,80190.67985,36.849319,253.669998,216.868774
500.1726281,243497.2362,80189.67959,13.550018,229.899994,216.346848
501.3550693,243497.8667,80188.67934,15.948609,232.079254,216.150101
502.5375105,243498.4973,80187.67908,17.472012,232.960007,215.579437
503.7199517,243499.1279,80186.67882,31.780762,246.470001,214.876785
504.9023929,243499.7585,80185.67856,36.693764,251.070007,214.36499
506.0848341,243500.3891,80184.67831,37.814095,252.229996,214.264999
507.2672753,243501.0197,80183.67805,37.26902,251.720001,214.432755
508.4497165,243501.6503,80182.67779,35.364609,249.809998,214.432266
509.6321577,243502.2809,80181.67754,35.419159,249.770004,214.329361
510.8145989,243502.9115,80180.67728,37.68848,251.979996,214.244888
511.9970401,243503.5421,80179.67702,37.022026,250.949997,213.850006
513.1794813,243504.1727,80178.67676,37.603298,251.580002,213.97197
