dist,x,y,dsm,dtm
5124.952905,245528.7646,81501.49344,248.949997,208.630386
5140.343154,245542.3529,81508.71975,248.289993,212.311523
5155.733403,245555.9411,81515.94607,248.169998,216.0784
5171.123652,245569.5293,81523.17238,248.550003,219.559479
5186.513901,245583.1176,81530.3987,244.070007,222.798828
5201.90415,245596.7058,81537.62501,246.610001,225.5
5217.294399,245610.294,81544.85132,259.320007,227.246262
5232.684648,245623.8823,81552.07764,265.320007,228.23082
5248.074897,245637.4705,81559.30395,254.449997,228.784042
5263.465146,245651.0587,81566.53026,260.73999,229.007889
5278.855395,245664.647,81573.75658,256.140015,228.276611
5294.245644,245678.2352,81580.98289,263.23999,227.150589
5309.635893,245691.8234,81588.20921,249.039993,225.509491
5325.026142,245705.4117,81595.43552,250.279999,222.694244
5340.416391,245718.9999,81602.66183,252.089996,220.00029
5355.80664,245732.5882,81609.88815,255.550003,217.146362
5371.196889,245746.1764,81617.11446,243.279999,214.000748
5386.587138,245759.7646,81624.34077,234.839996,209.689087
5401.977387,245773.3529,81631.56709,222.410004,204.888687
5417.367636,245786.9411,81638.7934,213.690002,204.415771
5432.757885,245800.5293,81646.01972,209.089996,204.589996
5448.148134,245814.1176,81653.24603,235.860001,209.700546
5463.538382,245827.7058,81660.47234,245.360001,216.063324
5478.928631,245841.294,81667.69866,259.070007,222.026001
5494.31888,245854.8823,81674.92497,259.799988,227.465988
5509.709129,245868.4705,81682.15128,248.089996,232.142197
5525.099378,245882.0587,81689.3776,243.740005,236.559998
5540.489627,245895.647,81696.60391,269.440002,239.30394
5555.879876,245909.2352,81703.83023,263.200012,241.917709
5571.270125,245922.8235,81711.05654,283.070007,243.708694
5586.660374,245936.4117,81718.28285,277.869995,245.537506
5602.050623,245949.9999,81725.50917,272.589996,246.969467
5617.440872,245963.5882,81732.73548,280.559998,248.275574
5632.831121,245977.1764,81739.96179,285.679993,249.53009
5648.22137,245990.7646,81747.18811,286.220001,250.45491
5663.611619,246004.3529,81754.41442,258.640015,251.960007
5679.001868,246017.9411,81761.64074,314.450012,254.076752
5694.392117,246031.5293,81768.86705,309.369995,256.169861
5709.782366,246045.1176,81776.09336,282.369995,258.701904
5725.172615,246058.7058,81783.31968,302.630005,261.475128
5740.562864,246072.294,81790.54599,290.160004,264.738892
5755.953113,246085.8823,81797.7723,320.940002,267.376648
5771.343362,246099.4705,81804.99862,314.970001,270.076263
5786.733611,246113.0588,81812.22493,305.160004,272.695557
5802.12386,246126.647,81819.45124,303.920013,274.740387
5817.514109,246140.2352,81826.67756,298.269989,276.51297
5832.904358,246153.8235,81833.90387,306.940002,277.992493
5848.294607,246167.4117,81841.13019,312.01001,278.995941
5863.684856,246180.9999,81848.3565,312.179993,279.347565
5879.075105,246194.5882,81855.58281,311.679993,278.908264
5894.465353,246208.1764,81862.80913,310.670013,277.353119
5909.855602,246221.7646,81870.03544,302.579987,274.572205
5925.245851,246235.3529,81877.26175,309.470001,270.898773
5940.6361,246248.9411,81884.48807,299.369995,266.771881
5956.026349,246262.5294,81891.71438,308.679993,262.342499
5971.416598,246276.1176,81898.9407,293.420013,256.839996
5986.806847,246289.7058,81906.16701,287.109985,252.737946
6002.197096,246303.2941,81913.39332,286.549988,248.067841
6017.587345,246316.8823,81920.61964,269.959991,243.45018
6032.977594,246330.4705,81927.84595,274.579987,239.942261
6048.367843,246344.0588,81935.07226,269.700012,236.887329
6063.758092,246357.647,81942.29858,274.609985,234.496277
6079.148341,246371.2352,81949.52489,256.890015,231.57132
6094.53859,246384.8235,81956.75121,268.299988,229.072998
6109.928839,246398.4117,81963.97752,256.850006,227.630005
6125.319088,246411.9999,81971.20383,260.480011,224.757065
6140.709337,246425.5882,81978.43015,253.669998,221.168396
6156.099586,246439.1764,81985.65646,251.5,216.530457
6171.489835,246452.7647,81992.88277,252.039993,212.033295
6186.880084,246466.3529,82000.10909,222.529999,206.946442
6202.270333,246479.9411,82007.3354,241.169998,203.85881
6217.660582,246493.5294,82014.56172,237.190002,203.756638
6233.050831,246507.1176,82021.78803,235.690002,203.918396
6248.44108,246520.7058,82029.01434,228.039993,204.313614
6263.831329,246534.2941,82036.24066,220.869995,207.450043
6279.221578,246547.8823,82043.46697,219.429993,217.24913
6294.611827,246561.4705,82050.69328,226.179993,224.606979
6310.002076,246575.0588,82057.9196,233.929993,231.425018
6325.392325,246588.647,82065.14591,241.610001,237.813736
6340.782573,246602.2352,82072.37222,263.130005,243.255371
6356.172822,246615.8235,82079.59854,259.589996,248.233795
6371.563071,246629.4117,82086.82485,282.369995,253.23259
6386.95332,246643,82094.05117,271.940002,258.175537
6402.343569,246656.5882,82101.27748,285.100006,263.049133
6417.733818,246670.1764,82108.50379,270.190002,267.282837
6433.124067,246683.7647,82115.73011,291.369995,270.618896
6448.514316,246697.3529,82122.95642,290.350006,273.824524
6463.904565,246710.9411,82130.18273,305.929993,276.070618
6479.294814,246724.5294,82137.40905,294.850006,278.212738
6494.685063,246738.1176,82144.63536,316.220001,279.34787
6510.075312,246751.7058,82151.86168,301.140015,279.8125
6525.465561,246765.2941,82159.08799,317.619995,278.890747
6540.85581,246778.8823,82166.3143,312.579987,277.832275
6556.246059,246792.4705,82173.54062,307.269989,276.215607
6571.636308,246806.0588,82180.76693,300.119995,274.759552
6587.026557,246819.647,82187.99324,310.559998,272.624329
6602.416806,246833.2353,82195.21956,313.799988,270.093109
6617.807055,246846.8235,82202.44587,307.970001,267.792053
6633.197304,246860.4117,82209.67219,302.98999,265.15387
6648.587553,246874,82216.8985,272.059998,262.579987
6663.977802,246887.5882,82224.12481,302.160004,259.397614
6679.368051,246901.1764,82231.35113,296.980011,256.906097
6694.7583,246914.7647,82238.57744,293.26001,254.6577
6710.148549,246928.3529,82245.80375,289.579987,252.402115
6725.538798,246941.9411,82253.03007,271.600006,249.975037
6740.929047,246955.5294,82260.25638,272.48999,247.82634
6756.319296,246969.1176,82267.4827,268.5,245.580002
6771.709544,246982.7059,82274.70901,271.899994,243.509995
6787.099793,246996.2941,82281.93532,272.329987,242.266525
6802.490042,247009.8823,82289.16164,264.859985,241.487991
6817.880291,247023.4706,82296.38795,262.049988,240.815002
6833.27054,247037.0588,82303.61426,276.049988,241.097305
6848.660789,247050.647,82310.84058,282.950012,240.949997
6864.051038,247064.2353,82318.06689,279.899994,242.828552
6879.441287,247077.8235,82325.2932,278.459991,243.641342
6894.831536,247091.4117,82332.51952,280.779999,244.786819
6910.221785,247105,82339.74583,270.910004,245.903732
6925.612034,247118.5882,82346.97215,268.399994,247.049942
6941.002283,247132.1764,82354.19846,284.429993,248.139999
6956.392532,247145.7647,82361.42477,277.220001,249.313248
6971.782781,247159.3529,82368.65109,275.029999,250.56723
6987.17303,247172.9412,82375.8774,278.160004,251.76651
7002.563279,247186.5294,82383.10371,262.359985,253.200012
7017.953528,247200.1176,82390.33003,278.399994,254.570007
7033.343777,247213.7059,82397.55634,290.709991,255.819046
7048.734026,247227.2941,82404.78266,292.940002,257.289673
7064.124275,247240.8823,82412.00897,271.519989,258.383057
7079.514524,247254.4706,82419.23528,289.450012,260.090363
7094.904773,247268.0588,82426.4616,297.940002,261.686188
7110.295022,247281.647,82433.68791,295.869995,262.883209
7125.685271,247295.2353,82440.91422,299.390015,264.216797
7141.07552,247308.8235,82448.14054,305.890015,265.23999
7156.465769,247322.4117,82455.36685,311.609985,266.019592
7171.856018,247336,82462.59317,296.190002,266.700348
7187.246267,247349.5882,82469.81948,297.799988,267.341583
7202.636516,247363.1765,82477.04579,301.619995,266.646973
7218.026764,247376.7647,82484.27211,268.869995,264.723999
7233.417013,247390.3529,82491.49842,272.559998,262.298401
7248.807262,247403.9412,82498.72473,268.170013,263.195984
7264.197511,247417.5294,82505.95105,272.079987,262.205353
7279.58776,247431.1176,82513.17736,262.679993,262.52002
7294.978009,247444.7059,82520.40368,269.200012,267.483337
7310.368258,247458.2941,82527.62999,274.23999,271.863403
7325.758507,247471.8823,82534.8563,298.200012,275.873322
7341.148756,247485.4706,82542.08262,297,279.981873
7356.539005,247499.0588,82549.30893,284.980011,284.116882
7371.929254,247512.647,82556.53524,306.670013,287.977509
7387.319503,247526.2353,82563.76156,302.269989,291.531219
7402.709752,247539.8235,82570.98787,315.299988,294.477417
7418.100001,247553.4118,82578.21419,327.01001,297.550659
7433.49025,247567,82585.4405,332.779999,300.544922
7448.880499,247580.5882,82592.66681,331.779999,303.56601
7464.270748,247594.1765,82599.89313,338.890015,305.68396
7479.660997,247607.7647,82607.11944,340.980011,307.415741
7495.051246,247621.3529,82614.34575,330.549988,309.232574
7510.441495,247634.9412,82621.57207,342.730011,310.140015
7525.831744,247648.5294,82628.79838,343.950012,311.035065
7541.221993,247662.1176,82636.02469,350.75,310.752747
7556.612242,247675.7059,82643.25101,336.339996,310.198273
7572.002491,247689.2941,82650.47732,343.579987,309.036469
7587.39274,247702.8823,82657.70364,345.440002,307.170013
7602.782989,247716.4706,82664.92995,337.829987,304.412354
7618.173238,247730.0588,82672.15626,333.070007,301.059998
7633.563487,247743.6471,82679.38258,334.23999,297.549988
7648.953735,247757.2353,82686.60889,324.459991,292.266663
7664.343984,247770.8235,82693.8352,316.600006,286.904266
7679.734233,247784.4118,82701.06152,315.359985,279.775299
7695.124482,247798,82708.28783,303.140015,272.534637
7710.514731,247811.5882,82715.51415,290.23999,265.613098
7725.90498,247825.1765,82722.74046,285.339996,257.841431
7741.295229,247838.7647,82729.96677,273.170013,249.77121
7756.685478,247852.3529,82737.19309,276.200012,241.124985
7772.075727,247865.9412,82744.4194,260.160004,233.402817
7787.465976,247879.5294,82751.64571,250.649994,225.558502
7802.856225,247893.1177,82758.87203,245.779999,218.460007
7818.246474,247906.7059,82766.09834,228.779999,211.109894
7833.636723,247920.2941,82773.32466,223.779999,205.253189
