dist,x,y,dsm,dtm,height
335.8204142,243012.1957,80245.04044,412,365.364532,46.793236
336.9549426,243013.2238,80245.52022,411.779999,364.398071,47.694885
338.089471,243014.2519,80245.99999,411.880005,363.405182,48.314426
339.2239995,243015.28,80246.47977,411.799988,362.37149,49.735001
340.3585279,243016.3081,80246.95954,411.5,361.436432,50.062042
341.4930563,243017.3362,80247.43932,410.220001,360.222656,49.801514
342.6275847,243018.3643,80247.9191,405.709991,359.337799,46.092503
343.7621132,243019.3924,80248.39887,409.320007,358.202545,51.050339
344.8966416,243020.4205,80248.87865,408.890015,357.192322,51.514004
346.03117,243021.4486,80249.35842,409.100006,355.904999,53.015133
347.1656984,243022.4766,80249.8382,408.459991,355.018921,53.063404
348.3002269,243023.5047,80250.31797,407.429993,353.684845,53.781956
349.4347553,243024.5328,80250.79775,406.880005,352.519989,54.170738
350.5692837,243025.5609,80251.27752,392.109985,351.758575,40.102661
351.7038122,243026.589,80251.7573,391.649994,351.030365,40.617683
352.8383406,243027.6171,80252.23708,370.649994,349.852112,21.090658
353.972869,243028.6452,80252.71685,370.850006,349.421783,21.524647
355.1073974,243029.6733,80253.19663,364,348.328033,15.452669
356.2419259,243030.7014,80253.6764,360.670013,347.716644,13.135024
357.3764543,243031.7295,80254.15618,364.850006,346.663391,18.455778
358.5109827,243032.7575,80254.63595,377.579987,346.100159,31.554173
359.6455111,243033.7856,80255.11573,376.540009,345.065002,31.247519
360.7800396,243034.8137,80255.5955,375.25,344.478058,30.723631
361.914568,243035.8418,80256.07528,343.640015,343.42334,0.131669
363.0490964,243036.8699,80256.55506,359.940002,343.097961,16.713709
364.1836248,243037.898,80257.03483,363.25,342.261536,20.998899
365.3181533,243038.9261,80257.51461,363.839996,341.847839,22.082207
366.4526817,243039.9542,80257.99438,364.470001,341.378021,22.97546
367.5872101,243040.9823,80258.47416,364.119995,340.424347,23.676611
368.7217385,243042.0104,80258.95393,361.769989,339.588257,22.276073
369.856267,243043.0385,80259.43371,359.859985,338.775848,21.338602
370.9907954,243044.0665,80259.91348,363.600006,338.439972,25.535788
372.1253238,243045.0946,80260.39326,366.23999,337.369995,28.774372
373.2598523,243046.1227,80260.87304,366.089996,337.092499,28.823793
374.3943807,243047.1508,80261.35281,366.390015,336.257782,30.16572
375.5289091,243048.1789,80261.83259,366.51001,335.812897,30.800152
376.6634375,243049.207,80262.31236,366.290009,334.95462,31.625652
377.797966,243050.2351,80262.79214,368.320007,334.537292,34.005333
378.9324944,243051.2632,80263.27191,368.829987,333.642883,35.435307
380.0670228,243052.2913,80263.75169,369.019989,333.189697,35.988918
381.2015512,243053.3194,80264.23147,369.059998,332.40918,36.646965
382.3360797,243054.3474,80264.71124,368.920013,332.024231,36.559872
383.4706081,243055.3755,80265.19102,367.5,331.049988,35.979794
384.6051365,243056.4036,80265.67079,366.209991,330.803101,35.369576
385.7396649,243057.4317,80266.15057,365.869995,329.909088,35.780483
386.8741934,243058.4598,80266.63034,360.670013,329.75,30.985264
388.0087218,243059.4879,80267.11012,357.589996,328.725494,28.960848
389.1432502,243060.516,80267.58989,362.170013,328.301514,33.943157
390.2777786,243061.5441,80268.06967,351.880005,327.401825,24.184036
391.4123071,243062.5722,80268.54945,362.359985,327.166595,35.028362
392.5468355,243063.6003,80269.02922,361.559998,326.51001,35.021172
393.6813639,243064.6284,80269.509,362.070007,326.220001,36.13665
394.8158924,243065.6564,80269.98877,362.51001,325.64682,37.064285
